image_id,dx,age,sex,localization,dataset_source,source_book,source_page,raw_caption,nivel_confianca,fototipo,excluir
Glossario_p0519_i00,mel,,,,GlossarioBook,Glossario,519,"Figura 6.30. Melanoma. Fotografia: Dr. Martin Sangüeza, Bolívia.",0.95,,0
Glossario_p0328_i00,mel,,,,GlossarioBook,Glossario,328,"Figura 5.16.1. Melanoma de lentigo maligno. Orifícios foliculares azul-acinzentados (seta  preta), pigmentação assimétrica dos orifícios foliculares (setas vermelhas), círculo dentro de  outro círculo (seta branca). | DR. EDUARDO SILVA LIZAMA",0.9,,0
Glossario_p0423_i00,mel,,,,GlossarioBook,Glossario,423,Figura 5.137. Lentigo maligno extrafacial. Linhas angulares (setas azuis). Pontos e glóbulos (seta branca).  Critérios associados ao lentigo solar. | Lentigo maligno extrafacial | Figura 5.136. Lentigo maligno. Áreas homogêneas de cor preta (seta vermelha).  Abertura folicular (seta branca). | GLOSS,0.85,,0
Glossario_p0141_i01,bcc,,,,GlossarioBook,Glossario,141,Figura 1.96. Tumor. Carcinoma basocelular.,1.0,,0
Glossario_p0530_i00,bcc,,,,GlossarioBook,Glossario,530,"Figura 6.45. Carcinoma basocelular. Foto: Dr. Martin Sangüeza, Bolívia.",1.0,,0
Azulay_p0613_i02,bcc,,,,AzulayBook,Azulay,613,"Figura 50.6 Ceratose seborreica - sinal de leser-Trélat. (Cortesia do Dr.  Vitor Azulay.) | faz diagnóstico diferencial com o carcinoma espinocelular. O | No diagnóstico diferencial, é necessário considerar o mela­ noma, quando se trata de lesão única, carcinoma basocelular  pigmentado e a ceratose ",0.95,,0
Glossario_p0401_i00,nv,,,,GlossarioBook,Glossario,401,Figura 5.109. Nevo melanocítico congênito. Padrão reticular em manchas.,0.95,,0
Azulay_p0611_i03,nv,,,,AzulayBook,Azulay,611,"Figura 50.1 Nevo epidérmico. (Cortesia do Dr. Eduardo Bornhausen·  Demarch.) | O conceito da síndrome do nevo epidérmico é a associação  do nevo epidérmico com diversas anormalidades de origem  ectodérmica (esqueléticas, oculares e do sistema nervoso cen­ tral), com eventual coexistência de anormali",0.70,,0
Azulay_p0612_i01,nv,,,,AzulayBook,Azulay,612,"Figura 50.2 Síndrome névica epidérmica (associação de nevo verrucoso,  alterações esqueléticas e retardamento mental). | 588 | Parte 15 1 Neoplasias Cutâneas e Cistos | clinicopatológico, é o preenchimento dos folículos pilosos  por grandes rolhas córneas de coloração enegrecida. Pode se  apresentar",0.70,,0
Glossario_p0345_i00,bkl,,,,GlossarioBook,Glossario,345,"Figura 5.28. Copos com alça. Queratose seborreica. | Vasos com circulação sanguínea que podem ser finos, grossos ou irregulares que  reproduzem a forma de um clipe ou fivela. Nos tumores queratinocíticos  costumam  estar rodeados por um halo esbranquiçado; estão localizados imersos em um fundo  esbr",0.95,,0
